Year,BIA,BLM,USFS,FWS,NPS,State/Other,Total
2019,340,195,3103,579,176,177155,151542
2018,289,201,3076,668,148,445953,450335
2017,247,188,2323,586,138,198952,202434
2016,240,315,3061,757,214,78418,83005
2015,245,334,2995,727,160,32802,37263
2014,288,429,3021,899,196,12211,17044
2013,202,328,2497,530,154,15053,18764
2012,201,304,2719,1001,203,12198,16626
2011,321,383,2890,840,213,4025,8672
2010,403,431,3766,1069,251,11007,16882
2009,2186,552,3795,1035,815,3854,12429
2008,254,447,3193,821,223,2731,7669
2007,284,462,4771,1228,271,17057,24073
2006,254,484,5138,1314,233,17006,24429
2005,216,522,3782,1201,226,1809,7756
2004,303,434,4859,1147,235,1862,8840
2003,238,449,4134,1051,188,16808,22868
2002,174,319,4339,947,209,23800,29788
2001,114,236,4058,729,63,709,5909
2000,129,308,2954,687,117,502,4697
1999,281,329,4021,575,206,525,5937
1998,171,359,2938,310,220,279,4277
10-yr average,216,390,4099,919,197,8036,13857
